Title,Authors,Date,Publisher,Link,Abstract,What is the application?,Who is the user?,What age?,Why use AI?,Study design
Building Bridges: AI Custom Chatbots as Mediators between Mathematics and Physics,"Julia Lademann, Jannik Henze, Sebastian Becker-Genschow",12/2024,arXiv,https://arxiv.org/abs/2412.15747,"This work explores the integration of AI custom chatbots in educational settings, with a particular focus on their applicability in the context of mathematics and physics. In view of the increasing deployment of AI tools such as ChatGPT in educational contexts, the present study examines their potential as personalized tutoring systems. The study assesses the impact of AI-generated learning materials on the learning experiences and performance of sixth-grade students, with a particular focus on proportional relationships in mathematical and physical contexts. The randomized controlled study with N = 214 students compared traditional textbook materials with explanations generated by a custom chatbot. The results demonstrated that while AI-generated materials had an indefinite impact on learning outcomes, they significantly enhanced positive-activating emotions, situational interest, and self-efficacy, while reducing intrinsic and extrinsic cognitive load. These findings underscore the potential of AI to transform educational practices by fostering a superior learning experience. However, further research is required to clarify its impact on learning performance and long-term learning outcomes. The study highlights the importance of careful integration and customization of AI tools to maximize their benefits in physics education.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support","Student, Educator",Middle School (6-8),"Outcomes – Numeracy, Outcomes – Other Academic, Outcomes – Differentiation",Impact – Randomized Controlled Trial
ChatGPT for Education and Research: A Review of Benefits and Risks,"Sarin Sok, Kimkong Heng",03/2023,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4378735,"Generative Pre-trained Transformer (ChatGPT) is an artificial intelligence (AI) tool that can quickly generate detailed responses to prompts and follow-up questions. This emerging AI tool was launched in November 2022 by an American AI research laboratory, called OpenAI, using large language models. In this article, the benefits and risks related to the use of ChatGPT in education and research are discussed. The article argues that ChatGPT has five main benefits such as creating learning assessment, enhancing pedagogical practice, offering virtual personal tutoring, creating an outline, and brainstorming ideas. However, there are risks related to academic integrity issues, unfair learning assessment, inaccurate information, and over-reliance on AI. The article offers a set of recommendations for effective use of ChatGPT for educational and research purposes.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Organizing, Analyzing",Others,"Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation",Systematic Review
ChatGPT in Education: Exploring Opportunities for Emerging Economies to Improve Education with ChatGPT,David Mhlanga,03/2023,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4355758,"In recent years, there has been amazing progress achieved in the field of artificial intelligence, and OpenAI has been at the forefront of this research throughout this time. Because of its exceptional capabilities in natural language processing, the ChatGPT language model, which was developed by OpenAI, has attracted a lot of attention recently. Even while this technology presents a significant opportunity for advancement in the field of education, particularly in economies that are still developing, it is essential to do an in-depth analysis of the impact it will have. The purpose of this study is to offer a critical analysis of OpenAI, with a particular emphasis on ChatGPT, regarding the educational sector in developing economies. In the study, both the benefits and drawbacks of using this technology are discussed. This study seeks to contribute to a better understanding of this technology and its potential impact on education in emerging economies by offering a detailed review of ChatGPT.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Literacy, Outcomes – Other Academic, Outcomes – Durable Skills",Systematic Review
ChatGPT-generated help produces learning gains equivalent to human tutor-authored help on mathematics skills,"Zachary A. Pardos, Shreya Bhandari",05/2024,PLOS ONE,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0304013,"Authoring of help content within educational technologies is labor intensive, requiring many iterations of content creation, refining, and proofreading. In this paper, we conduct an efficacy evaluation of ChatGPT-generated help using a 3 x 4 study design (N = 274) to compare the learning gains of ChatGPT to human tutor-authored help across four mathematics problem subject areas. Participants are randomly assigned to one of three hint conditions (control, human tutor, or ChatGPT) paired with one of four randomly assigned subject areas (Elementary Algebra, Intermediate Algebra, College Algebra, or Statistics). We find that only the ChatGPT condition produces statistically significant learning gains compared to a no-help control, with no statistically significant differences in gains or time-on-task observed between learners receiving ChatGPT vs human tutor help. Notably, ChatGPT-generated help failed quality checks on 32% of problems. This was, however, reducible to nearly 0% for algebra problems and 13% for statistics problems after applying self-consistency, a “hallucination” mitigation technique for Large Language Models.",Learning – Student Support,Student,"High School (9-12), Post-Secondary","Efficiency, Outcomes – Numeracy",Impact – Randomized Controlled Trial
ChatGPT: Revolutionizing student achievement in the electronic magnetism unit for eleventh-grade students in Emirates schools,"Saif Alneyadi, Yousef Wardat",06/2023,CedTech,https://www.cedtech.net/download/chatgpt-revolutionizing-student-achievement-in-the-electronic-magnetism-unit-for-eleventh-grade-13417.pdf,"The study aimed to examine the influence of ChatGPT on the academic performance and learning perception of eleventh-grade students in a United Arab Emirates school in the field of electronic magnetism. The participants were randomly divided into two groups: an experimental group granted access to ChatGPT and a control group without access to ChatGPT. The research spanned four weeks, during which the experimental group was instructed to utilize ChatGPT whenever they required assistance with the course content. The study employed a mixedmethods design, collecting both quantitative and qualitative data to assess the impact of ChatGPT on student learning and perception. Quantitative data was gathered through pre-/posttest surveys, measuring participants’ course achievement and perception of learning with ChatGPT. Qualitative data was collected via open-ended survey questions, allowing participants to provide feedback and suggestions for improvement. The study revealed that ChatGPT had a positive influence on student achievement and perception of learning in the field of electronic magnetism. The experimental group displayed significant enhancements in their scores on the post-test measuring the impact of ChatGPT on student achievement, exhibiting higher mean scores across all subscales compared to the control group. Furthermore, both male and female participants acknowledged ChatGPT as a valuable learning tool, offering suggestions for enhancing its functionality. The study suggests that ChatGPT is an effective tool for enhancing student learning and achievement in specific academic domains. However, further research is needed to explore its generalizability to other contexts and disciplines, as well as to address potential challenges and limitations of ChatGPT use in education.","Teaching – Instructional Materials, Teaching – Assessment and Feedback","Student, Educator",High School (9-12),"Outcomes – Other Academic, Outcomes – Differentiation",Impact – Quasi–experimental
Chatbot dialogic reading boosts comprehension for Chinese kindergarteners with higher language skills,"Xi Cheng,  Li Yin,  Chaochao Lin,  Zhaoning Shi,  Hanxiao Zheng,  Leqi Zhu,  Xiabi Liu,  Keran Chen,  Rui Dong",04/2024,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0022096523002187,"Dialogic reading promotes early language and literacy development, but high-quality interactions may be inaccessible to disadvantaged children. This study examined whether a chatbot could deliver dialogic reading support comparable to a human partner for Chinese kindergarteners. Using a 2 × 2 factorial design, 148 children (83 girls; Mage = 70.07 months, SD = 7.64) from less resourced families in Beijing, China, were randomly assigned to one of four conditions: dialogic or non-dialogic reading techniques with either a chatbot or human partner. The chatbot provided comparable dialogic support to the human partner, enhancing story comprehension and word learning. Critically, the chatbot’s effect on story comprehension was moderated by children’s language proficiency rather than age or reading ability. This demonstrates that chatbots can facilitate dialogic reading and highlights the importance of considering children’s language skills when implementing chatbot dialogic interventions.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support",Educator,Elementary (PK5),"Outcomes – Numeracy, Outcomes – Differentiation",Impact – Randomized Controlled Trial
Data-Driven Artificial Intelligence in Education: A Comprehensive Review,"Kashif Ahmad, Waleed Iqbal, Ammar El-Hassan, Junaid Qadir, Driss Benhaddou, Moussa Ayyash",09/2023,IEEE,https://ieeexplore.ieee.org/document/10247566,"As education constitutes an essential development standard for individuals and societies, researchers have been exploring the use of artificial intelligence (AI) in this domain and have embedded the technology within it through a myriad of applications. In order to provide a detailed overview of the efforts, this article pays particular attention to these developments by highlighting key application areas of data-driven AI in education; it also analyzes existing tools, research trends, as well as limitations of the role data-driven AI can play in education. In particular, this article reviews various applications of AI in education including student grading and assessments, student retention and drop-out predictions, sentiment analysis, intelligent tutoring, classroom monitoring, and recommender systems. This article also provides a detailed bibliometric analysis to highlight the salient research trends in AI in education over nine years (2014–2022) and further provides a detailed description of the tools and platforms developed as the outcome of research and development efforts in AI in education. For the bibliometric analysis, articles from several top venues are analyzed to explore research trends in the domain. The analysis shows sufficient contribution in the domain from different parts of the world with a clear lead for the United States. Moreover, students' grading and evaluation have been observed as the most widely explored application. Despite the significant success, we observed several aspects of education where AI alone has not contributed much. We believe such detailed analysis is expected to provide a baseline for future research in the domain.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Organizing, Analyzing","Educator, School Leader, Others","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Differentiation, Outcomes – Social Emotional, Outcomes – Durable Skills",Systematic Review
Decision-Making Framework for the Utilization of Generative Artificial Intelligence in Education: A Case Study of ChatGPT,"Umar Ali Bukar, Md. Shohel Sayeed, Siti Fatimah Abdul Razak, Sumendra Yogarayan, Radhwan Sneesl",07/2024,IEEE,https://ieeexplore.ieee.org/document/10589404,"The increasing integration of ChatGPT, a Generative Artificial Intelligence (Gen-AI) model, into educational environments has sparked substantial ethical concerns. This paper addresses the crucial question of whether to impose restrictions or legislate the usage of Gen-AI, with ChatGPT as a pivotal case study. Through systematic literature review and frequency of occurrence analysis, 10 ethical concerns were selected for further analysis using the Analytic Hierarchy Process (AHP). The analysis responses of 10 expert panels show that the top concerns, as revealed by their weights, after meeting the consistency requirement, include copyright, legal, and compliance issues (0.1731), privacy and confidentiality (0.1286), academic integrity (0.1206), incorrect reference and citation practices (0.1111), and safety and security concerns (0.1050). Evaluating the impact of these concerns on the policy alternatives (restriction and legislation), the findings revealed that “Restriction” received a higher weight (0.513712) compared to “Legislation” (0.485887). Notably, copyright, legal, and compliance issues, privacy and confidentiality, and academic integrity emerged as crucial factors influencing the decision between restriction and legislation. This study offers valuable insights for educational institutions and policymakers, suggesting the need for inclusive discussions, pilot programs to assess impacts on critical thinking, development of clear guidelines, flexible regulatory frameworks, awareness campaigns, and potential strategies for ethical and responsible use.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Analyzing","Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation",Systematic Review
Education in the Era of Generative Artificial Intelligence (AI): Understanding the Potential Benefits of ChatGPT in Promoting Teaching and Learning,"David Baidoo-Anu, Leticia Owusu Ansah",01/2025,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4337484,"Since its maiden release into the public domain on November 30, 2022, ChatGPT garnered more than one million subscribers within a week. The generative AI tool ⎼ChatGPT took the world by surprise with it sophisticated capacity to carry out remarkably complex tasks. The extraordinary abilities of ChatGPT to perform complex tasks within the field of education has caused mixed feelings among educators as this advancement in AI seems to revolutionize existing educational praxis. This review article synthesizes recent extant literature to offer some potential benefits of ChatGPT in promoting teaching and learning. Benefits of ChatGPT include but are not limited to promotion of personalized and interactive learning, generating prompts for formative assessment activities that provide ongoing feedback to inform teaching and learning etc. The paper also highlights some inherent limitations in the ChatGPT such as generating wrong information, biases in data training which may augment existing biases, privacy issues etc. The study offers recommendations on how ChatGPT could be leveraged to maximize teaching and learning. Policy makers, researchers, educators and technology experts could work together and start conversations on how these evolving generative AI tools could be used safely and constructively to improve education and support students’ learning.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation",Systematic Review
Encouraging Responsible Use of Generative AI in Education: A Reward-Based Learning Approach,"Aditi Singh, Abul Ehtesham, Saket Kumar, Gaurav Kumar Gupta, Tala Talaei Khoei",06/2024,arXiv,https://arxiv.org/abs/2407.15022,"This research introduces an innovative mathematical learning approach that integrates generative AI to cultivate a structured learning rather than quick solution. Our method combines chatbot capabilities and generative AI to offer interactive problem-solving exercises, enhancing learning through a stepby-step approach for varied problems, advocating for the responsible use of AI in education. Our approach emphasizes that immediate answers from ChatGPT can impede real learning. We introduce a reward-based system that requires students to solve mathematical problems effectively to receive the final answer. This encourages a progressive learning path from basic to complex problems, rewarding mastery with final solutions. The goal is to transition students from seeking quick fixes to engaging actively in a comprehensive learning experience.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Learning – Student Support","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary","Outcomes – Numeracy, Outcomes – Differentiation","Descriptive – Product Development, Impact – Quasi–experimental"
Experimental Evidence on Artificial Intelligence in the Classroom,"Bruno Ferman, Lycia Lima, Flavio Riva",11/2020,RePEc,https://ideas.repec.org/p/pra/mprapa/103934.html,"This paper investigates how technologies that use different combinations of artificial and human intelligence are incorporated into classroom instruction, and how they ultimately affect students' outcomes. We conducted a field experiment to study two technologies that allow teachers to outsource grading and feedback tasks on writing practices. The first technology is a fully automated evaluation system that provides instantaneous scores and feedback. The second one uses human graders as an additional resource to enhance grading and feedback quality in aspects in which the automated system arguably falls short. Both technologies significantly improved students' essay scores, and the additional inputs from human graders did not improve effectiveness. Furthermore, the technologies similarly helped teachers engage more frequently on nonroutine tasks that supported the individualization of pedagogy. Our results are informative about the potential of artificial intelligence to expand the set of tasks that can be automated, and on how advances in artificial intelligence may relocate human labor to tasks that remain out of reach of automation.",Teaching – Assessment and Feedback,Educator,High School (9-12),"Efficiency, Outcomes – Literacy",Impact – Randomized Controlled Trial
"Exploring User Perspectives on ChatGPT: Applications, Perceptions, and Implications for AI-Integrated Education","Reza Hadi Mogavi, Chao Deng, Justin Juho Kim, Pengyuan Zhou, Young D. Kwon, Ahmed Hosny Saleh Metwally, Ahmed Tlili, Simone Bassanelli, Antonio Bucchiarone, Sujit Gujar, Lennart E. Nacke, Pan Hui",11/2023,arXiv,https://arxiv.org/abs/2305.13114,"To foster the development of pedagogically potent and ethically sound AI-integrated learning landscapes, it is pivotal to critically explore the perceptions and experiences of the users immersed in these contexts. In this study, we perform a thorough qualitative content analysis across four key social media platforms. Our goal is to understand the user experience (UX) and views of early adopters of ChatGPT across different educational sectors. The results of our research show that ChatGPT is most commonly used in the domains of higher education, K-12 education, and practical skills training. In social media dialogues, the topics most frequently associated with ChatGPT are productivity, efficiency, and ethics. Early adopters' attitudes towards ChatGPT are multifaceted. On one hand, some users view it as a transformative tool capable of amplifying student self-efficacy and learning motivation. On the other hand, there is a degree of apprehension among concerned users. They worry about a potential overdependence on the AI system, which they fear might encourage superficial learning habits and erode students' social and critical thinking skills. This dichotomy of opinions underscores the complexity of Human-AI Interaction in educational contexts. Our investigation adds depth to this ongoing discourse, providing crowd-sourced insights for educators and learners who are considering incorporating ChatGPT or similar generative AI tools into their pedagogical strategies.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Organizing, Analyzing","Student, Parent/Caregiver, Educator, Others","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Literacy, Outcomes – Numeracy, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Social Emotional, Outcomes – Durable Skills, Other",Impact – Quasi–experimental
"FairAIED: Navigating Fairness, Bias, and Ethics in Educational AI Applications","Sribala Vidyadhari Chinta, Zichong Wang, Zhipeng Yin, Nhat Hoang, Matthew Gonzalez, Tai Le Quy, Wenbin Zhang",07/2024,arXiv,https://arxiv.org/abs/2407.18745,"The integration of Artificial Intelligence (AI) into education has transformative potential, providing tailored learning experiences and creative instructional approaches. However, the inherent biases in AI algorithms hinder this improvement by unintentionally perpetuating prejudice against specific demographics, especially in human-centered applications like education. This survey delves deeply into the developing topic of algorithmic fairness in educational contexts, providing a comprehensive evaluation of the diverse literature on fairness, bias, and ethics in AI-driven educational applications. It identifies the common forms of biases, such as data-related, algorithmic, and user-interaction, that fundamentally undermine the accomplishment of fairness in AI teaching aids. By outlining existing techniques for mitigating these biases, ranging from varied data gathering to algorithmic fairness interventions, the survey emphasizes the critical role of ethical considerations and legal frameworks in shaping a more equitable educational environment. Furthermore, it guides readers through the complexities of fairness measurements, methods, and datasets, shedding light on the way to bias reduction. Despite these gains, this survey highlights long-standing issues, such as achieving a balance between fairness and accuracy, as well as the need for diverse datasets. Overcoming these challenges and ensuring the ethical and fair use of AI's promise in education call for a collaborative, interdisciplinary approach.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Analyzing","Student, Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Other Academic, Outcomes – Differentiation, Reimagined Schooling",Systematic Review
From Unseen Needs to Classroom Solutions: Exploring AI Literacy Challenges & Opportunities with Project-Based Learning Toolkit in K-12 Education,"Hanqi Li, Ruiwei Xiao, Hsuan Nieu, Ying-Jui Tseng, Guanze Liao",12/2024,arXiv,https://arxiv.org/abs/2412.17243,"As artificial intelligence (AI) becomes increasingly central to various fields, there is a growing need to equip K-12 students with AI literacy skills that extend beyond computer science. This paper explores the integration of a Project-Based Learning (PBL) AI toolkit into diverse subject areas, aimed at helping educators teach AI concepts more effectively. Through interviews and co-design sessions with K-12 teachers, we examined current AI literacy levels and how teachers adapt AI tools like the AI Art Lab, AI Music Studio, and AI Chatbot into their course designs. While teachers appreciated the potential of AI tools to foster creativity and critical thinking, they also expressed concerns about the accuracy, trustworthiness, and ethical implications of AI-generated content. Our findings reveal the challenges teachers face, including limited resources, varying student and instructor skill levels, and the need for scalable, adaptable AI tools. This research contributes insights that can inform the development of AI curricula tailored to diverse educational contexts.","Teaching – Instructional Materials, Teaching – Professional Learning",Educator,"Middle School (6-8), High School (9-12)","Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Durable Skills","Descriptive – Implementation and Use, Descriptive – Product Development, Impact – Quasi–experimental"
Generative AI Can Harm Learning,"Hamsa Bastani, Osbert Bastani, Alp Sungu, Haosen Ge, Özge Kabakcı, Rei Mariman",07/2024,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4895486,"Generative artificial intelligence (AI) is poised to revolutionize how humans work, and has already demonstrated promise in significantly improving human productivity. However, a key remaining question is how generative AI affects learning, namely, how humans acquire new skills as they perform tasks. This kind of skill learning is critical to long-term productivity gains, especially in domains where generative AI is fallible and human experts must check its outputs. We study the impact of generative AI, specifically OpenAI's GPT-4, on human learning in the context of math classes at a high school. In a field experiment involving nearly a thousand students, we have deployed and evaluated two GPT based tutors, one that mimics a standard ChatGPT interface (called GPT Base) and one with prompts designed to safeguard learning (called GPT Tutor). These tutors comprise about 15% of the curriculum in each of three grades. Consistent with prior work, our results show that access to GPT-4 significantly improves performance (48% improvement for GPT Base and 127% for GPT Tutor). However, we additionally find that when access is subsequently taken away, students actually perform worse than those who never had access (17% reduction for GPT Base). That is, access to GPT-4 can harm educational outcomes. These negative learning effects are largely mitigated by the safeguards included in GPT Tutor. Our results suggest that students attempt to use GPT-4 as a ""crutch"" during practice problem sessions, and when successful, perform worse on their own. Thus, to maintain long-term productivity, we must be cautious when deploying generative AI to ensure humans continue to learn critical skills.","Teaching – Assessment and Feedback, Learning – Student Support","Student, Educator",High School (9-12),"Outcomes – Numeracy, Outcomes – Durable Skills",Impact – Randomized Controlled Trial
Generative AI and Its Educational Implications,"Kacper Łodzikowski, Peter W. Foltz, John T. Behrens",01/2024,arXiv,https://arxiv.org/abs/2401.08659,"We discuss the implications of generative AI on education across four critical sections: the historical development of AI in education, its contemporary applications in learning, societal repercussions, and strategic recommendations for researchers. We propose ways in which generative AI can transform the educational landscape, primarily via its ability to conduct assessment of complex cognitive performances and create personalized content. We also address the challenges of effective educational tool deployment, data bias, design transparency, and accurate output verification. Acknowledging the societal impact, we emphasize the need for updating curricula, redefining communicative trust, and adjusting to transformed social norms. We end by outlining the ways in which educational stakeholders can actively engage with generative AI, develop fluency with its capacities and limitations, and apply these insights to steer educational practices in a rapidly advancing digital landscape.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools, Analyzing","Student, Educator, School Leader","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary, Adult","Efficiency, Outcomes – Literacy, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Social Emotional, Outcomes – Durable Skills, Reimagined Schooling",Systematic Review
"Generative AI for Education (GAIED): Advances, Opportunities, and Challenges","Paul Denny, Sumit Gulwani, Neil T. Heffernan, Tanja Käser, Steven Moore, Anna N. Rafferty, Adish Singla",02/2024,arXiv,https://arxiv.org/abs/2402.01580,"This survey article has grown out of the GAIED (pronounced ""guide"") workshop organized by the authors at the NeurIPS 2023 conference. We organized the GAIED workshop as part of a community-building effort to bring together researchers, educators, and practitioners to explore the potential of generative AI for enhancing education. This article aims to provide an overview of the workshop activities and highlight several future research directions in the area of GAIED.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support","Student, Educator","Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary","Efficiency, Outcomes – Literacy, Outcomes – Numeracy, Outcomes – Other Academic, Outcomes – Differentiation, Outcomes – Social Emotional, Outcomes – Durable Skills, Reimagined Schooling","Descriptive – Implementation and Use, Descriptive – Product Development"
Generative AI for Enhancing Active Learning in Education: A Comparative Study of GPT-3.5 and GPT-4 in Crafting Customized Test Questions,"Hamdireza Rouzegar, Masoud Makrehchi",06/2024,arXiv,https://arxiv.org/abs/2406.13903,"This study investigates how LLMs, specifically GPT-3.5 and GPT-4, can develop tailored questions for Grade 9 math, aligning with active learning principles. By utilizing an iterative method, these models adjust questions based on difficulty and content, responding to feedback from a simulated 'student' model. A novel aspect of the research involved using GPT-4 as a 'teacher' to create complex questions, with GPT-3.5 as the 'student' responding to these challenges. This setup mirrors active learning, promoting deeper engagement. The findings demonstrate GPT-4's superior ability to generate precise, challenging questions and notable improvements in GPT-3.5's ability to handle more complex problems after receiving instruction from GPT-4. These results underscore the potential of LLMs to mimic and enhance active learning scenarios, offering a promising path for AI in customized education. This research contributes to understanding how AI can support personalized learning experiences, highlighting the need for further exploration in various educational contexts","Teaching – Instructional Materials, Teaching – Assessment and Feedback",School Leader,Middle School (6-8),"Outcomes – Numeracy, Outcomes – Differentiation",Impact – Quasi–experimental
Home-Tutoring Services Assisted with Technology: Investigating the Role of Artificial Intelligence Using a Randomized Field Experiment,"Jun Hyung Kim, Minki Kim, Do Won Kwak, Sol Lee",09/2021,Journal of Marketing Research,https://journals.sagepub.com/doi/full/10.1177/00222437211050351,"Despite a rising interest in artificial intelligence (AI) technology, research in services marketing has not evaluated its role in helping firms learn about customers’ needs and increasing the adaptability of service employees. Therefore, the authors develop a conceptual framework and investigate whether and to what extent providing AI assistance to service employees improves serviceoutcomes. The randomized controlled trial in the context of tutoring services shows that helping service employees (tutors)adapt to students’ learning needs by providing AI-generated diagnoses significantly improves service outcomes measured by academic performance. However, the authors find that some tutors may not utilize AI assistance (i.e., AI aversion), and factors associated with unforeseen barriers to usage (i.e., technology overload) can moderate its impact on outcomes. Interestingly, tutorswho significantly contribute to the firm’s revenue relied heavily on AI assistance but unexpectedly benefited little from AI inimproving service outcomes. Given the wide applicability of AI assistance in a variety of services marketing contexts, the authorssuggest that firms should consider the potential difficulties employees face in using the technology rather than encourage them to use it as it is.","Teaching – Assessment and Feedback, Learning – Student Support",Educator,"Elementary (PK5), Middle School (6-8)","Efficiency, Outcomes – Numeracy, Outcomes – Differentiation",Impact – Randomized Controlled Trial
Improving Teachers’ Questioning Quality through Automated Feedback: A Mixed-Methods Randomized Controlled Trial in Brick-and-Mortar Classrooms,"Dorottya Demszky, Jing Liu, Heather C. Hill, Shyamoli Sanghi, Ariel Chung",11/2023,EdWorkingPapers.com,https://files.eric.ed.gov/fulltext/ED638993.pdf,"While recent studies have demonstrated the potential of automated feedback to enhance teacher instruction in virtual settings, its efficacy in traditional classrooms remains unexplored. In collaboration with TeachFX, we conducted a pre-registered randomized controlled trial involving 523 Utah mathematics and science teachers to assess the impact of automated feedback in K-12 classrooms. This feedback targeted “focusing questions” – questions that probe students’ thinking by pressing for explanations and reflection. Our findings indicate that automated feedback increased teachers’ use of focusing questions by 20%. However, there was no discernible effect on other teaching practices. Qualitative interviews revealed mixed engagement with the automated feedback: some teachers noticed and appreciated the reflective insights from the feedback, while others had no knowledge of it. Teachers also expressed skepticism about the accuracy of feedback, concerns about data security, and/or noted that time constraints prevented their engagement with the feedback. Our findings highlight avenues for future work, including integrating this feedback into existing professional development activities to maximize its effect.","Teaching – Assessment and Feedback, Teaching – Professional Learning",Educator,"Elementary (PK5), Middle School (6-8), High School (9-12)","Efficiency, Outcomes – Other Academic, Reimagined Schooling","Impact – Randomized Controlled Trial, Impact – Quasi–experimental"
"Improving Teaching at Scale: Can AI Be Incorporated Into Professional Development to Create Interactive, Personalized Learning for Teachers?","Yasemin Copur-Gencturk, Jingxian Li, Sebnem Atabas",05/2024,American Educational Research Journal,https://journals.sagepub.com/doi/full/10.3102/00028312241248514,"Scalable and accessible professional development programs have the potential to address the opportunity gap many teachers experience. Yet many asynchronous online programs lack interaction with and timely feedback to teachers. We addressed this problem by developing a virtual, interactive program that uses intelligent tutoring systems to provide just‐in‐time feedback to teachers. We conducted a randomized controlled trial with teachers across the United States in which teachers were assigned to either this program or no additional training. We found that teachers who completed our program (N = 29) used mathematically richer tasks and created a more coherent, connected learning environment for students to build conceptual understandings than did teachers who were in the business‐as‐usual condition (N = 23).",Teaching – Professional Learning,Educator,Middle School (6-8),"Outcomes – Numeracy, Outcomes – Differentiation",Impact – Randomized Controlled Trial
"Instructors as Innovators: a Future-focused Approach to New AI Learning Opportunities, With Prompts","Ethan R. Mollick, Lilach Mollick",04/2024,SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4802463,"This paper explores how instructors can leverage generative AI to create personalized learning experiences for students that transform teaching and learning. We present a range of AI-based exercises that enable novel forms of practice and application including simulations, mentoring, coaching, and co-creation. For each type of exercise, we provide prompts that instructors can customize, along with guidance on classroom implementation, assessment, and risks to consider. We also provide blueprints, prompts that help instructors create their own original prompts. Instructors can leverage their content and pedagogical expertise to design these experiences, putting them in the role of builders and innovators. We argue that this instructor-driven approach has the potential to democratize the development of educational technology by enabling individual instructors to create AI exercises and tools tailored to their students' needs. While the exercises in this paper are a starting point, not a definitive solutions, they demonstrate AI's potential to expand what is possible in teaching and learning.","Teaching – Instructional Materials, Teaching – Assessment and Feedback, Teaching – Professional Learning, Learning – Student Support, Communicating / Social Tools",Educator,"Elementary (PK5), Middle School (6-8), High School (9-12), Post-Secondary","Outcomes – Differentiation, Outcomes – Durable Skills","Descriptive – Implementation and Use, Descriptive – Product Development"
Interaction With a Television Character Powered by Artificial Intelligence Promotes Children’s Science Learning,"Ying Xu, Julian Levine, Valery Vigil, Daniel Ritchie, Shan Zhang, Trisha Thomas, Carlos Barrera, Michelle Meza, Andres Sebastian Bustamante, Mark Warschauer",04/2023,EdArXiv,https://osf.io/preprints/edarxiv/m3ej9,"Television and video programs are important educational resources for young children, especiallythosefromunder-resourcedhouseholds.Theseprograms’potentialcanbeamplifiedif children are given the opportunity to meaningfully interact with media characters during their video watching. In this project, we partnered with PBS KIDS to develop interactive science- focused videos in which the main character, powered by artificial intelligence, engaged in conversation with children by asking them questions and providing responsive feedback. The children who watched the interactive video performed better in a science posttest compared to their peers who watched the non-interactive or pseudo-interactive videos. This paper sheds light on the feasibility and effectiveness of using conversational technologies to support children’s active learning from video watching.","Teaching – Instructional Materials, Teaching – Assessment and Feedback",Educator,Elementary (PK5),"Outcomes – Other Academic, Outcomes – Differentiation",Impact – Randomized Controlled Trial
